GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
450,1LBR,42588,16/01/1997,1997,1,Battle-No change of territory,ULIMO-J: United Liberation Movement of Liberia for Democracy (Jonshon Faction),,2,NPFL: National Patriotic Front Liberia,,2,22,Liberia,Grand Cape Mount,Garwula,Upper Garwula,Sasstown,6.78000,-11.28000,1,Africa Research Bulletin,ULIMO J attacked a truck full of rubber workers who were reportedly NPFL supporters,0
450,2LBR,42589,20/01/1997,1997,1,Riots/Protests,Protesters (Liberia),,6,,,0,60,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,taxi drivers strike over killing of taxi man near Taylor's house last week,0
450,3LBR,42590,01/02/1997,1997,1,Non-violent transfer of territory,ECOMOG: Economic Community of West African States Monitoring Group,,8,NPFL: National Patriotic Front Liberia,,2,28,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,ECOMOG hunt city for arms as the disarmament deadline looms,0
450,4LBR,42591,26/02/1997,1997,1,Non-violent transfer of territory,Military Forces of Liberia (1997-2003),,1,Military Forces of Sierra Leone (1996-1997),,8,18,Liberia,Grand Cape Mount,Tewor,Fahnbulleh,Bo,7.01000,-11.37000,1,Reuters,govs of LBR and and SL agree to tighten border,0
450,5LBR,42592,27/02/1997,1997,1,Non-violent transfer of territory,Military Forces of Liberia (1997-2003),,1,Military Forces of Sierra Leone (1996-1997),,8,18,Liberia,Grand Cape Mount,Tewor,Fahnbulleh,Bo,7.01000,-11.37000,1,Reuters,govs of LBR and and SL agree to tighten border,0
450,6LBR,42593,28/02/1997,1997,1,Non-violent transfer of territory,Military Forces of Liberia (1997-2003),,1,Military Forces of Sierra Leone (1996-1997),,8,18,Liberia,Grand Cape Mount,Tewor,Fahnbulleh,Bo,7.01000,-11.37000,1,Reuters,govs of LBR and and SL agree to tighten border,0
450,7LBR,42594,01/03/1997,1997,1,Non-violent transfer of territory,Military Forces of Liberia (1997-2003),,1,Military Forces of Sierra Leone (1996-1997),,8,18,Liberia,Grand Cape Mount,Tewor,Fahnbulleh,Bo,7.01000,-11.37000,1,Reuters,govs of LBR and and SL agree to tighten border,0
450,8LBR,42595,26/05/1997,1997,1,Non-violent transfer of territory,ECOMOG: Economic Community of West African States Monitoring Group,,8,Military Forces of Sierra Leone (1997-1998),,8,88,Liberia,Grand Cape Mount,Tewor,Fahnbulleh,Bo,7.01000,-11.37000,1,Reuters,ECOMOG (nigerian troops) shut down border at Bo as recent attack from sierra leone army shook them,0
450,9LBR,42596,15/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
450,10LBR,42597,16/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
450,11LBR,42598,17/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
450,12LBR,42599,18/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
450,13LBR,42600,19/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
450,14LBR,42601,20/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
450,15LBR,42602,21/06/1997,1997,1,Battle-No change of territory,NPFL: National Patriotic Front Liberia,,2,UP: Unity Party,,3,23,Liberia,Montserrado,Greater Monrovia,Monrovia,Monrovia,6.31000,-10.80000,1,Reuters,pre-election violence in 'rural areas' report says between 'rival parties',0
