GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
500,1UGA,106846,01/01/1997,1997,3,Battle-No change of territory,Military Forces of Uganda (1986-),,1,UFDF: Uganda Federal Democratic Front,,2,12,Uganda,Mubende,Mityana,Mityana Tc,Mityana,0.40154,32.04515,3,"Africa Research Bulletin Vol. 34 No. 1, 1997","Over 20 rebel groups believed to belong to Duncan Kafeero's Uganda Federal Democratic Forces battled with the Ugandan army - the rebels had been planning to attack police posts in the area, 5 rebels were killed",5
500,2UGA,106847,01/01/1997,1997,3,Battle-No change of territory,Military Forces of Uganda (1986-),,1,LRA: Lord's Resistance Army,,2,12,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,3,"Africa Research Bulletin Vol. 34 No. 1, 1997","Ugandan army battled with LRA rebels - 4 rebels were killed, 3 captured, several abductees were rescued - specific date unknown",4
500,3UGA,106848,07/01/1997,1997,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,12,Uganda,Kamwenge,Kitagwenda,Nyabbani,Nyabani,0.13580,30.36360,1,BBC Monitoring Service: Africa (10/01/97),"5 ADF rebels were killed when the Ugandan army engaged 20 fleeing rebels in a battle. 
engaged 20 fleeing rebels in a battle. 
rebels were killed when the
engaged 20 fleeing rebels in a battle. 
",5
500,4UGA,106849,08/01/1997,1997,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,12,Uganda,Kasese,Busongora,Kasese Tc,Kasese,0.18333,30.08333,3,BBC Monitoring Service: Africa (11/01/97),Battle between Ugandan army and ADF rebels - 2 soldiers were killed and an unidentified number of rebels,2
500,5UGA,106850,11/01/1997,1997,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Pader,Aruu,Acholibur,Acholi-Bur,3.12583,32.91972,1,The New York Times (5/3/97),"LRA abduct an unknown number of people taking them to Kitwan, Sudan",0
500,6UGA,106851,01/02/1997,1997,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,"Africa Research Bulletin Vol. 34 No. 1, 1997",16 people were killed in Lugwa village by LRA rebels in early February,16
500,7UGA,106852,01/02/1997,1997,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Pader,Agago,Wol,Pader,3.05000,33.21670,3,"Africa Research Bulletin Vol. 34 No. 2, 1997",8 people were killed in Paldbek Gem village by LRA rebels in early February,8
500,8UGA,106853,13/02/1997,1997,1,Remote violence,Military Forces of Sudan (1989-),,8,Civilians (Uganda),,7,78,Uganda,Moyo,West Moyo,Moyo Tc,Moyo,3.65270,31.72738,3,BBC Monitoring Service: Africa (17/2/97),Sudanese aircraft attempted twice to bomb a northern Ugandan military base in Moyo. The target was missed and 7 civilians were wounded. Sudan officially denied the attacks,0
500,9UGA,106854,16/02/1997,1997,1,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,2,Reuters News (16/2/97),LRA night attack - killed 3 and abducted 30. LOCATION: Village 1 mile from Gulu,3
500,10UGA,106855,21/02/1997,1997,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,"Africa Research Bulletin Vol. 34 No. 2, 1997",ADF rebels attacked a trading Nyakarambi trading centre,0
500,11UGA,106856,01/03/1997,1997,1,Remote violence,Military Forces of Sudan (1989-),Unidentified Armed Group (Uganda),8,Civilians (Uganda),,7,78,Uganda,Arua,Koboko,Lobule,Koboko,3.41140,30.98670,2,Sudan Catholic Information Office (Monthly Report 15/3/97),A combined force of Sudanese government troops and Uganda dissidents bombed a village 12km inside the Ugandan border,0
500,12UGA,106857,05/03/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Pader,Aruu,Atanga,Aswa,2.95702,32.58991,1,The New York Times (5/3/97),"Battle between Ugandan military and LRA rebels - 2 rebels killed, 20 youths recently abducted were rescued",2
500,13UGA,106858,05/03/1997,1997,2,Violence against civilians,LRA: Lord's Resistance Army,,2,Civilians (Uganda),,7,27,Uganda,Kitgum,Lamwo,Palabek Kal,Palabek,3.43330,32.56670,1,The New York Times (5/3/97),"After failing to find deserters they captured from the same village, LRA rebels killed 8 women and 1 girl",9
500,14UGA,106859,24/03/1997,1997,1,Riots/Protests,Rioters (Uganda),,5,,,0,50,Uganda,Kampala,Kampala,Central Division,Kampala,0.31560,32.56560,1,Reuters News (25/3/97),"ca. 50 Zaireans resident in Uganda, stormed the Zairean embassy in support of Alliance of the Democratic Forces for the Liberation of Congo-Zaire (ADFL) and Kabila",0
500,15UGA,106860,01/04/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,"Africa Research Bulletin Vol. 34 No. 4, 1997",LRA rebel attacks - details not specified,0
500,16UGA,106861,01/04/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Gulu,Gulu,Pece,Gulu,2.76667,32.30556,3,"Africa Research Bulletin Vol. 34 No. 4, 1997",LRA rebel attacks - details not specified,0
500,17UGA,106862,13/04/1997,1997,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,Military Forces of Sudan (1989-),LRA: Lord's Resistance Army,8,18,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,Reuters News (18/4/97),Battle between UPDF and Sudanese military allied with LRA 'in the Ugandan side of the Uganda-Sudan border' - 60 Sudanese soldiers reportedly killed,60
500,18UGA,106863,14/04/1997,1997,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,Military Forces of Sudan (1989-),LRA: Lord's Resistance Army,8,18,Uganda,Kitgum,Lamwo,Agoro,Lelabur,3.74000,32.88330,2,Reuters News 18/4/97,LRA rebels backed by military forced of Sudan battled with Ugandan soldiers just inside the Ugandan border - 60 Sudanese soldiers and 68 LRA rebels were killed plus many prisoners taken by both sides,128
500,19UGA,106864,14/04/1997,1997,1,Battle-No change of territory,Military Forces of Uganda (1986-),,1,Military Forces of Sudan (1989-),LRA: Lord's Resistance Army,8,18,Uganda,Kitgum,Chua,Kitgum Tc,Kitgum,3.27833,32.88667,3,"Africa Research Bulletin Vol. 34 No. 4, 1997",Sudanese troops invaded Uganda alongside LRA rebels - they were reportedly trying to establish a base to continue attacks within Uganda,0
500,21UGA,106865,28/05/1997,1997,1,Violence against civilians,Pokot Ethnic Militia (Kenya),,4,Civilians (Uganda),,7,47,Uganda,Kotido,Dodoth,Kaabong T.C.,Kaabong,3.51207,34.13444,2,Reuters News,76 Ugandan villagers are killed by Pokot cattle raiders.,76
500,20UGA,106866,28/05/1997,1997,1,Violence against civilians,Karamajong Ethnic Militia (Uganda),,4,Civilians (Uganda),,7,47,Uganda,Nakapiripirit,Pokot,Amudat,Amudat,1.95000,34.95000,2,Pittsburgh Post-Gazette (3/6/97),"Cattle raid by Karimojong rustlers against rival tribe - 76 killed, 366 animals stolen",76
500,22UGA,106867,15/06/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (22/6/97),Allied Democratic Defence Force (ADF) rebel activity including looting and battles with Ugandan army - it was reported that 'over 200 rebels had been killed in the fighting',200
500,23UGA,106868,16/06/1997,1997,1,Battle-Non-state actor overtakes territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,Interahamwe Militia,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,1,"Reuters News (24/6/97), (8/10/97), Africa Research Bulletin Vol. 34 No. 6, 1997",Battle between Allied Democratic Defence Force (ADF) rebels (allied with Rwandan Interahamwe militia) against the Ugandan army - rebels captured Bundibugyo town,0
500,24UGA,106869,17/06/1997,1997,1,Battle-Government regains territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,Interahamwe Militia,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,1,"Reuters News (24/6/97), (8/10/97), Africa Research Bulletin Vol. 34 No. 6, 1997","Battle between Allied Democratic Defence Force (ADF) rebels (allied with Rwandan Interahamwe militia) against the Ugandan army- army recaptured Bundibugyo town, 5 rebels were killed and two soldiers wounded",5
500,25UGA,106870,17/06/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (24/6/97),Continued Allied Democratic Defence Force (ADF) rebel activity including battles with Ugandan army,0
500,26UGA,106871,18/06/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (24/6/97),Continued Allied Democratic Defence Force (ADF) rebel activity including battles with Ugandan army,0
500,27UGA,106872,19/06/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (24/6/97),Continued Allied Democratic Defence Force (ADF) rebel activity including battles with Ugandan army,0
500,28UGA,106873,20/06/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (22/6/97),Continued Allied Democratic Defence Force (ADF) rebel activity including battles with Ugandan army,0
500,29UGA,106874,20/06/1997,1997,2,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (22/6/97),ADF raids - killed fleeing residents,40
500,30UGA,106875,21/06/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Bundibugyo,Bwamba,Bubukwanga,Bundibugyo,0.74140,30.04170,3,Reuters News (23/6/97),Continued Allied Democratic Defence Force (ADF) rebel activity including battles with Ugandan army,0
